"movie_title","director_name","title_year","duration","genre","gross","budget","imdb_score","classify_score","cast_total_facebook_likes"
"Avatar ","James Cameron",2009,178,"Action",760505847,2.37e+08,7.9,"Hit",4834
"Pirates of the Caribbean: At World's End ","Gore Verbinski",2007,169,"Action",309404152,3e+08,7.1,"Hit",48350
"Spectre ","Sam Mendes",2015,148,"Action",200074175,2.45e+08,6.8,"Average",11700
"The Dark Knight Rises ","Christopher Nolan",2012,164,"Action",448130642,2.5e+08,8.5,"Hit",106759
"John Carter ","Andrew Stanton",2012,132,"Action",73058679,263700000,6.6,"Average",1873
"Spider-Man 3 ","Sam Raimi",2007,156,"Action",336530303,2.58e+08,6.2,"Average",46055
"Tangled ","Nathan Greno",2010,100,"Comedy",200807262,2.6e+08,7.8,"Hit",2036
"Avengers: Age of Ultron ","Joss Whedon",2015,141,"Action",458991599,2.5e+08,7.5,"Hit",92000
"Harry Potter and the Half-Blood Prince ","David Yates",2009,153,"Adventure",301956980,2.5e+08,7.5,"Hit",58753
"Batman v Superman: Dawn of Justice ","Zack Snyder",2016,183,"Action",330249062,2.5e+08,6.9,"Average",24450
"Superman Returns ","Bryan Singer",2006,169,"Action",200069408,2.09e+08,6.1,"Average",29991
"Quantum of Solace ","Marc Forster",2008,106,"Action",168368427,2e+08,6.7,"Average",2023
"Pirates of the Caribbean: Dead Man's Chest ","Gore Verbinski",2006,151,"Action",423032628,2.25e+08,7.3,"Hit",48486
"The Lone Ranger ","Gore Verbinski",2013,150,"Action",89289910,2.15e+08,6.5,"Average",45757
"Man of Steel ","Zack Snyder",2013,143,"Action",291021565,2.25e+08,7.2,"Hit",20495
"The Chronicles of Narnia: Prince Caspian ","Andrew Adamson",2008,150,"Action",141614023,2.25e+08,6.6,"Average",22697
"The Avengers ","Joss Whedon",2012,173,"Action",623279547,2.2e+08,8.1,"Hit",87697
"Pirates of the Caribbean: On Stranger Tides ","Rob Marshall",2011,136,"Action",241063875,2.5e+08,6.7,"Average",54083
"Men in Black 3 ","Barry Sonnenfeld",2012,106,"Action",179020854,2.25e+08,6.8,"Average",12572
"The Hobbit: The Battle of the Five Armies ","Peter Jackson",2014,164,"Adventure",255108370,2.5e+08,7.5,"Hit",9152
"The Amazing Spider-Man ","Marc Webb",2012,153,"Action",262030663,2.3e+08,7,"Average",28489
"Robin Hood ","Ridley Scott",2010,156,"Action",105219735,2e+08,6.7,"Average",3244
"The Hobbit: The Desolation of Smaug ","Peter Jackson",2013,186,"Adventure",258355354,2.25e+08,7.9,"Hit",9152
"The Golden Compass ","Chris Weitz",2007,113,"Adventure",70083519,1.8e+08,6.1,"Average",24106
"King Kong ","Peter Jackson",2005,201,"Action",218051260,2.07e+08,7.2,"Hit",7123
"Titanic ","James Cameron",1997,194,"Romance",658672302,2e+08,7.7,"Hit",45223
"Captain America: Civil War ","Anthony Russo",2016,147,"Action",407197282,2.5e+08,8.2,"Hit",64798
"Battleship ","Peter Berg",2012,131,"Action",65173160,2.09e+08,5.9,"Average",26679
"Jurassic World ","Colin Trevorrow",2015,124,"Action",652177271,1.5e+08,7,"Average",8458
"Skyfall ","Sam Mendes",2012,143,"Action",304360277,2e+08,7.8,"Hit",2039
"Spider-Man 2 ","Sam Raimi",2004,135,"Action",373377893,2e+08,7.3,"Hit",43388
"Iron Man 3 ","Shane Black",2013,195,"Action",408992272,2e+08,7.2,"Hit",30426
"Alice in Wonderland ","Tim Burton",2010,108,"Adventure",334185206,2e+08,6.5,"Average",79957
