"title","channel_title","category_id","category_desc","views","likes","dislikes","comment_total","day","month"
"1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!","Logan Paul Vlogs",24,"Entertainment",4394029,320053,5931,46245,13,9
"iPhone X — Introducing iPhone X — Apple","Apple",28,"Science & Technology",7860119,185853,26679,0,13,9
"My Response","PewDiePie",22,"People & Blogs",5845909,576597,39774,170708,13,9
"Apple iPhone X first look","The Verge",28,"Science & Technology",2642103,24975,4542,12829,13,9
"iPhone X (parody)","jacksfilms",23,"Comedy",1168130,96666,568,6666,13,9
"The Disaster Artist | Official Trailer HD | A24","A24",1,"Film & Animation",1311445,34507,544,3040,13,9
"The Check In: HUD, Ben Carson and Hurricanes","Late Night with Seth Meyers",23,"Comedy",666169,9985,297,1071,13,9
"iPhone X Impressions & Hands On!","Marques Brownlee",28,"Science & Technology",1728614,74062,2180,15297,13,9
"ATTACKED BY A POLICE DOG!!","RomanAtwoodVlogs",22,"People & Blogs",1338533,69687,678,5643,13,9
"Honest Trailers - The Mummy (2017)","Screen Junkies",1,"Film & Animation",1056891,29943,878,4046,13,9
"Honest College Tour","CollegeHumor",23,"Comedy",859289,34485,726,1914,13,9
"Best Floyd Mayweather Interview | Awkward Puppets","Awkward Puppets",23,"Comedy",452477,28050,405,2745,13,9
"Jennifer Lawrence Challenges Jimmy to an Axe Throwing Contest","The Tonight Show Starring Jimmy Fallon",23,"Comedy",258781,8085,303,726,13,9
"Hand In Hand A Benefit For Hurricane Relief | MTV","MTV",24,"Entertainment",274358,9215,477,838,13,9
"Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017","America's Got Talent",24,"Entertainment",473691,14740,415,1696,13,9
"iPhone X Hands on - Everything you need to know","Jonathan Morrison",28,"Science & Technology",514972,18936,641,3817,13,9
"What Do You Want to Eat?!","Wong Fu Productions",24,"Entertainment",282858,14870,300,1398,13,9
"getting into a conversation in a language you don't actually speak that well","ProZD",1,"Film & Animation",1582683,65749,1531,3598,13,9
