All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Javier Castellano,693,146,118,130,"$15,054,983.00","$21,724.00",21.00%,394,57.00%,2016
"Irad Ortiz, Jr.",971,225,188,150,"$14,906,089.00","$15,351.00",23.00%,563,58.00%,2016
Jose L. Ortiz,1025,248,159,158,"$13,928,500.00","$13,589.00",24.00%,565,55.00%,2016
Mike E. Smith,172,41,25,25,"$11,698,795.00","$68,016.00",24.00%,91,53.00%,2016
John R. Velazquez,478,104,67,60,"$11,521,617.00","$24,104.00",22.00%,231,48.00%,2016
Joel Rosario,475,84,74,84,"$9,704,702.00","$20,431.00",18.00%,242,51.00%,2016
Florent Geroux,614,111,79,98,"$8,888,209.00","$14,476.00",18.00%,288,47.00%,2016
Mario Gutierrez,396,55,67,62,"$8,495,490.00","$21,453.00",14.00%,184,46.00%,2016
Manuel Franco,956,128,138,131,"$8,490,978.00","$8,882.00",13.00%,397,42.00%,2016
Rafael Bejarano,550,128,113,79,"$8,460,954.00","$15,384.00",23.00%,320,58.00%,2016
Luis Saez,726,124,107,105,"$8,243,525.00","$11,355.00",17.00%,336,46.00%,2016
Julien R. Leparoux,463,88,67,62,"$7,835,126.00","$16,923.00",19.00%,217,47.00%,2016
"Ricardo Santana, Jr.",832,134,143,104,"$7,372,124.00","$8,861.00",16.00%,381,46.00%,2016
Kendrick Carmouche,769,116,120,105,"$7,274,817.00","$9,460.00",15.00%,341,44.00%,2016
Corey J. Lanerie,791,147,139,98,"$6,555,621.00","$8,288.00",19.00%,384,49.00%,2016
Paco Lopez,611,157,105,87,"$6,297,659.00","$10,307.00",26.00%,349,57.00%,2016
Kent J. Desormeaux,367,73,67,49,"$6,082,271.00","$16,573.00",20.00%,189,51.00%,2016
Eurico Rosa Da Silva,638,163,116,105,"$5,946,324.00","$9,320.00",26.00%,384,60.00%,2016
Trevor McCarthy,965,193,185,141,"$5,716,399.00","$5,924.00",20.00%,519,54.00%,2016
Flavien Prat,513,91,87,77,"$5,473,250.00","$10,669.00",18.00%,255,50.00%,2016
Antonio A. Gallardo,1120,260,179,168,"$5,207,435.00","$4,649.00",23.00%,607,54.00%,2016
Robby Albarado,774,120,110,131,"$5,164,210.00","$6,672.00",16.00%,361,47.00%,2016
Ramon A. Vazquez,1022,200,167,159,"$5,156,130.00","$5,045.00",20.00%,526,51.00%,2016
"Brian Joseph Hernandez, Jr.",641,107,112,81,"$5,052,146.00","$7,882.00",17.00%,300,47.00%,2016
Martin Garcia,336,53,40,46,"$4,960,571.00","$14,764.00",16.00%,139,41.00%,2016
Tyler Baze,686,108,112,112,"$4,957,299.00","$7,226.00",16.00%,332,48.00%,2016
Joseph Talamo,477,75,66,59,"$4,872,342.00","$10,215.00",16.00%,200,42.00%,2016
Junior Alvarado,446,55,73,60,"$4,670,824.00","$10,473.00",12.00%,188,42.00%,2016
Luis Contreras,669,117,117,99,"$4,585,464.00","$6,854.00",17.00%,333,50.00%,2016
Victor Espinoza,171,36,26,24,"$4,408,056.00","$25,778.00",21.00%,86,50.00%,2016
Frankie Pennington,632,94,122,97,"$4,299,045.00","$6,802.00",15.00%,313,50.00%,2016
Cornelio H. Velasquez,417,66,57,70,"$4,268,558.00","$10,236.00",16.00%,193,46.00%,2016
C.J. McMahon,689,166,112,81,"$3,919,522.00","$5,689.00",24.00%,359,52.00%,2016
Gary L. Stevens,154,23,20,25,"$3,801,002.00","$24,682.00",15.00%,68,44.00%,2016
Jevian Toledo,695,115,106,87,"$3,765,325.00","$5,418.00",17.00%,308,44.00%,2016
Tyler Gaffalione,633,107,101,98,"$3,757,205.00","$5,936.00",17.00%,306,48.00%,2016
Santiago Gonzalez,623,91,93,96,"$3,745,477.00","$6,012.00",15.00%,280,45.00%,2016
Emisael Jaramillo,524,130,101,62,"$3,695,569.00","$7,053.00",25.00%,293,56.00%,2016
Joe Bravo,195,36,29,23,"$3,581,614.00","$18,367.00",18.00%,88,45.00%,2016
Diego Saenz,700,167,122,113,"$3,508,417.00","$5,012.00",24.00%,402,57.00%,2016
Alex Birzer,983,150,138,141,"$3,504,938.00","$3,566.00",15.00%,429,44.00%,2016
Edgard J. Zayas,623,128,109,67,"$3,471,426.00","$5,572.00",21.00%,304,49.00%,2016
Victor R. Carrasco,689,127,102,82,"$3,471,230.00","$5,038.00",18.00%,311,45.00%,2016
Angel R. Rodriguez,917,168,145,144,"$3,366,223.00","$3,671.00",18.00%,457,50.00%,2016
Patrick Husbands,416,74,66,80,"$3,363,993.00","$8,087.00",18.00%,220,53.00%,2016
Angel S. Arroyo,585,66,70,82,"$3,362,567.00","$5,748.00",11.00%,218,37.00%,2016
Albin Jimenez,869,168,141,129,"$3,338,106.00","$3,841.00",19.00%,438,50.00%,2016
J. D. Acosta,832,125,109,109,"$3,314,566.00","$3,984.00",15.00%,343,41.00%,2016
Chris Landeros,489,68,75,86,"$3,257,187.00","$6,661.00",14.00%,229,47.00%,2016
Jose Lezcano,330,36,47,50,"$3,188,910.00","$9,663.00",11.00%,133,40.00%,2016
Fernando De La Cruz,854,163,123,97,"$3,179,690.00","$3,723.00",19.00%,383,45.00%,2016
Emmanuel Esquivel,595,88,92,91,"$3,146,005.00","$5,287.00",15.00%,271,46.00%,2016
Rafael Manuel Hernandez,536,105,75,69,"$3,145,771.00","$5,869.00",20.00%,249,46.00%,2016
Eric Cancel,578,55,64,79,"$3,126,706.00","$5,410.00",10.00%,198,34.00%,2016
Gary Boulanger,498,75,64,65,"$3,068,143.00","$6,161.00",15.00%,204,41.00%,2016
Channing Hill,490,80,55,58,"$3,062,835.00","$6,251.00",16.00%,193,39.00%,2016
Luis S. Quinonez,407,58,61,61,"$3,048,713.00","$7,491.00",14.00%,180,44.00%,2016
Jesse M. Campbell,539,82,68,74,"$3,042,711.00","$5,645.00",15.00%,224,42.00%,2016
Juan J. Hernandez,717,195,109,130,"$3,042,350.00","$4,243.00",27.00%,434,61.00%,2016
Alex L. Canchari,707,117,100,103,"$3,003,935.00","$4,249.00",17.00%,320,45.00%,2016
Nik Juarez,483,95,69,75,"$2,948,567.00","$6,105.00",20.00%,239,49.00%,2016
Arnaldo Bocachica,617,161,120,85,"$2,935,793.00","$4,758.00",26.00%,366,59.00%,2016
Colby J. Hernandez,747,124,119,106,"$2,935,697.00","$3,930.00",17.00%,349,47.00%,2016
"Jorge A. Vargas, Jr.",468,87,73,62,"$2,855,199.00","$6,101.00",19.00%,222,47.00%,2016
Ken S. Tohill,755,122,123,110,"$2,807,639.00","$3,719.00",16.00%,355,47.00%,2016
Hector Caballero,458,82,70,60,"$2,720,560.00","$5,940.00",18.00%,212,46.00%,2016
Miguel Mena,563,75,74,85,"$2,708,598.00","$4,811.00",13.00%,234,42.00%,2016
Luis M. Ocasio,574,106,78,79,"$2,681,439.00","$4,671.00",18.00%,263,46.00%,2016
Mychel J. Sanchez,605,76,93,81,"$2,670,059.00","$4,413.00",13.00%,250,41.00%,2016
Horacio Karamanos,381,68,55,60,"$2,658,587.00","$6,978.00",18.00%,183,48.00%,2016
Jose Montano,723,176,132,94,"$2,588,434.00","$3,580.00",24.00%,402,56.00%,2016
David Cabrera,784,113,139,125,"$2,585,824.00","$3,298.00",14.00%,377,48.00%,2016
Walter De La Cruz,837,143,120,105,"$2,579,976.00","$3,082.00",17.00%,368,44.00%,2016
Francisco C. Torres,666,95,81,92,"$2,494,846.00","$3,746.00",14.00%,268,40.00%,2016
Tyler Conner,849,139,123,128,"$2,466,464.00","$2,905.00",16.00%,390,46.00%,2016
Daniel Centeno,483,111,82,83,"$2,462,533.00","$5,098.00",23.00%,276,57.00%,2016
Fernando Hernandez Perez,432,63,44,56,"$2,455,502.00","$5,684.00",15.00%,163,38.00%,2016
Gabriel Saez,480,65,62,69,"$2,439,267.00","$5,082.00",14.00%,196,41.00%,2016
Richard E. Eramia,759,122,119,111,"$2,438,803.00","$3,213.00",16.00%,352,46.00%,2016
"Alfredo J. Juarez, Jr.",624,132,96,104,"$2,431,029.00","$3,896.00",21.00%,332,53.00%,2016
Ry Eikleberry,708,126,116,112,"$2,425,052.00","$3,425.00",18.00%,354,50.00%,2016
Gerard Melancon,545,110,91,68,"$2,410,850.00","$4,424.00",20.00%,269,49.00%,2016
Pablo Morales,636,131,115,104,"$2,377,968.00","$3,739.00",21.00%,350,55.00%,2016
Dylan Davis,369,41,56,31,"$2,366,686.00","$6,414.00",11.00%,128,35.00%,2016
Ruben Silvera,548,62,72,71,"$2,362,260.00","$4,311.00",11.00%,205,37.00%,2016
T. D. Houghton,948,135,158,134,"$2,354,711.00","$2,484.00",14.00%,427,45.00%,2016
Martin A. Pedroza,448,65,61,60,"$2,354,108.00","$5,255.00",15.00%,186,42.00%,2016
Christian P. Pilares,917,159,160,147,"$2,331,219.00","$2,542.00",17.00%,466,51.00%,2016
Edwin A. Maldonado,379,64,48,42,"$2,329,538.00","$6,147.00",17.00%,154,41.00%,2016
Andrew Wolfsont,652,99,106,113,"$2,324,221.00","$3,565.00",15.00%,318,49.00%,2016
Marcelino Pedroza,648,85,101,88,"$2,320,985.00","$3,582.00",13.00%,274,42.00%,2016
James Graham,613,73,89,79,"$2,318,169.00","$3,782.00",12.00%,241,39.00%,2016
Alan Garcia,353,62,50,37,"$2,316,560.00","$6,562.00",18.00%,149,42.00%,2016
"Joseph Rocco, Jr.",385,40,31,42,"$2,296,818.00","$5,966.00",10.00%,113,29.00%,2016
Ashley Broussard,703,120,109,80,"$2,261,227.00","$3,217.00",17.00%,309,44.00%,2016
Carol Cedeno,542,88,78,80,"$2,220,777.00","$4,097.00",16.00%,246,45.00%,2016
Antonio Lopez,550,111,78,92,"$2,217,977.00","$4,033.00",20.00%,281,51.00%,2016
"Norberto Arroyo, Jr.",376,73,67,54,"$2,192,413.00","$5,831.00",19.00%,194,52.00%,2016
Rodney A. Prescott,807,111,105,77,"$2,184,170.00","$2,707.00",14.00%,293,36.00%,2016
Emma-Jayne Wilson,428,49,62,53,"$2,179,027.00","$5,091.00",11.00%,164,38.00%,2016
Edwin Gonzalez,619,128,109,92,"$2,177,017.00","$3,517.00",21.00%,329,53.00%,2016
Shane Laviolette,518,70,82,54,"$2,164,508.00","$4,179.00",14.00%,206,40.00%,2016
Deshawn L. Parker,874,243,155,133,"$2,152,773.00","$2,463.00",28.00%,531,61.00%,2016
Mitchell Murrill,620,88,89,87,"$2,094,043.00","$3,377.00",14.00%,264,43.00%,2016
Jaime Rodriguez,764,160,136,125,"$2,082,910.00","$2,726.00",21.00%,421,55.00%,2016
Luis M. Quinones,1031,212,171,144,"$2,070,699.00","$2,008.00",21.00%,527,51.00%,2016
Tiago Josue Pereira,440,48,59,60,"$2,045,633.00","$4,649.00",11.00%,167,38.00%,2016
Alex Cintron,434,53,56,64,"$1,983,897.00","$4,571.00",12.00%,173,40.00%,2016
David Moran,484,46,67,54,"$1,982,519.00","$4,096.00",10.00%,167,35.00%,2016
"Ronald Dale Allen, Jr.",715,115,113,118,"$1,950,941.00","$2,729.00",16.00%,346,48.00%,2016
Jose Luis Flores,448,42,50,50,"$1,939,471.00","$4,329.00",9.00%,142,32.00%,2016
Jon Kenton Court,403,53,43,39,"$1,921,371.00","$4,768.00",13.00%,135,33.00%,2016
Shaun Bridgmohan,318,48,42,38,"$1,919,285.00","$6,035.00",15.00%,128,40.00%,2016
Roberto Morales,523,90,98,69,"$1,916,695.00","$3,665.00",17.00%,257,49.00%,2016
Anthony Salgado,350,72,53,40,"$1,906,474.00","$5,447.00",21.00%,165,47.00%,2016
