All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Todd A. Pletcher,784,285,197,121,120,"$16,496,716 ","$21,042 ",25%,56%,2016
Bob Baffert,373,134,102,76,42,"$15,489,406 ","$41,527 ",27%,59%,2016
Steven M. Asmussen,"1,250",390,250,210,163,"$13,046,351 ","$10,437 ",20%,50%,2016
Mark E. Casse,651,248,121,100,93,"$8,874,889 ","$13,633 ",19%,48%,2016
Doug F. O'Neill,516,173,80,84,92,"$8,630,463 ","$16,726 ",16%,50%,2016
Jerry Hollendorfer,820,254,146,117,126,"$8,243,386 ","$10,053 ",18%,47%,2016
Kiaran P. McLaughlin,292,96,55,53,45,"$8,094,230 ","$27,720 ",19%,52%,2016
Rudy R. Rodriguez,580,194,133,98,88,"$7,230,747 ","$12,467 ",23%,55%,2016
Chad C. Brown,190,79,54,36,31,"$6,837,340 ","$35,986 ",28%,64%,2016
Karl Broberg,"1,370",392,330,244,192,"$5,000,537 ","$3,650 ",24%,56%,2016
David Jacobson,405,138,74,75,59,"$4,133,014 ","$10,205 ",18%,51%,2016
Michael J. Maker,550,219,104,83,69,"$4,043,980 ","$7,353 ",19%,47%,2016
Patricia Farro,865,177,132,148,136,"$3,940,079 ","$4,555 ",15%,48%,2016
Robertino Diodoro,714,235,199,136,85,"$3,889,103 ","$5,447 ",28%,59%,2016
Linda Rice,349,130,110,53,56,"$3,867,008 ","$11,080 ",32%,63%,2016
Dale L. Romans,271,77,41,47,28,"$3,860,192 ","$14,244 ",15%,43%,2016
J. Keith Desormeaux,180,51,25,32,28,"$3,841,994 ","$21,344 ",14%,47%,2016
John C. Servis,305,72,63,52,39,"$3,755,408 ","$12,313 ",21%,50%,2016
Jorge Navarro,350,112,120,61,40,"$3,614,405 ","$10,327 ",34%,63%,2016
Chris J. Englehart,677,132,169,138,89,"$3,502,121 ","$5,173 ",25%,58%,2016
W. Bret Calhoun,489,160,102,72,67,"$3,372,185 ","$6,896 ",21%,49%,2016
Brad H. Cox,328,137,78,56,53,"$3,353,099 ","$10,223 ",24%,57%,2016
James A. Jerkens,121,40,24,25,18,"$3,301,350 ","$27,284 ",20%,55%,2016
Thomas M. Amoss,356,129,112,65,54,"$3,253,603 ","$9,139 ",31%,65%,2016
Jeff C. Runco,617,126,162,121,95,"$3,186,482 ","$5,164 ",26%,61%,2016
Philip D'Amato,302,121,60,53,40,"$3,178,231 ","$10,524 ",20%,51%,2016
Jeremiah C. Englehart,630,168,168,115,104,"$3,170,139 ","$5,032 ",27%,61%,2016
Peter Miller,327,135,75,57,49,"$3,033,073 ","$9,275 ",23%,55%,2016
Peter Eurton,207,73,31,41,23,"$2,969,862 ","$14,347 ",15%,46%,2016
Ramon Preciado,375,103,74,60,49,"$2,923,743 ","$7,797 ",20%,49%,2016
Jeffrey A. Radosevich,835,149,178,138,107,"$2,803,076 ","$3,357 ",21%,51%,2016
"Mario Serey, Jr.",525,108,92,75,61,"$2,762,468 ","$5,262 ",18%,43%,2016
J. Larry Jones,201,61,53,27,26,"$2,696,229 ","$13,414 ",26%,53%,2016
Michelle Nevin,232,95,55,41,33,"$2,674,975 ","$11,530 ",24%,56%,2016
John W. Sadler,168,57,35,31,25,"$2,655,572 ","$15,807 ",21%,54%,2016
Dallas Stewart,118,34,16,16,17,"$2,602,074 ","$22,051 ",14%,42%,2016
Charlton Baker,279,61,66,63,35,"$2,593,474 ","$9,296 ",24%,59%,2016
Todd W. Fincher,398,82,100,76,48,"$2,558,088 ","$6,427 ",25%,56%,2016
"Albert M. Stall, Jr.",218,76,49,37,29,"$2,545,038 ","$11,674 ",22%,53%,2016
Jamie Ness,541,171,120,79,87,"$2,518,440 ","$4,655 ",22%,53%,2016
Art Sherman,105,40,17,10,13,"$2,515,525 ","$23,957 ",16%,38%,2016
Richard Baltas,272,96,44,44,38,"$2,509,571 ","$9,226 ",16%,46%,2016
Kenneth G. McPeek,253,76,46,37,34,"$2,465,474 ","$9,745 ",18%,46%,2016
Timothy C. Kreiser,542,92,129,101,92,"$2,457,148 ","$4,533 ",24%,59%,2016
Scott A. Lake,583,139,97,91,76,"$2,415,408 ","$4,143 ",17%,45%,2016
Donnie K. Von Hemel,302,89,38,45,47,"$2,392,603 ","$7,923 ",13%,43%,2016
Marcos Zulueta,300,94,83,51,44,"$2,348,594 ","$7,829 ",28%,59%,2016
Robert M. Gorham,653,104,88,123,112,"$2,324,307 ","$3,559 ",13%,49%,2016
Michael J. Trombetta,445,133,61,84,67,"$2,289,503 ","$5,145 ",14%,48%,2016
William I. Mott,219,106,26,27,31,"$2,289,017 ","$10,452 ",12%,38%,2016
Richard E. Mandella,60,33,12,11,8,"$2,269,564 ","$37,826 ",20%,52%,2016
H. Graham Motion,214,101,45,43,27,"$2,268,896 ","$10,602 ",21%,54%,2016
Federico Villafranco,453,117,113,75,71,"$2,264,521 ","$4,999 ",25%,57%,2016
Arnaud Delacour,103,48,32,20,15,"$2,231,759 ","$21,668 ",31%,65%,2016
Michael P. De Paulo,261,62,38,44,33,"$2,177,490 ","$8,343 ",15%,44%,2016
Justin R. Evans,489,131,138,90,81,"$2,175,013 ","$4,448 ",28%,63%,2016
Danny Pish,569,149,118,111,83,"$2,121,462 ","$3,728 ",21%,55%,2016
Ian R. Wilkes,347,95,44,55,48,"$2,097,685 ","$6,045 ",13%,42%,2016
Ralph E. Nicks,258,112,51,35,53,"$2,092,874 ","$8,112 ",20%,54%,2016
Jason Servis,207,86,54,42,22,"$2,088,948 ","$10,092 ",26%,57%,2016
Antonio Sano,378,100,57,63,59,"$2,077,428 ","$5,496 ",15%,47%,2016
Ron Moquett,340,99,42,45,45,"$2,058,716 ","$6,055 ",12%,39%,2016
Chris A. Hartman,274,108,63,49,38,"$2,057,461 ","$7,509 ",23%,55%,2016
David A. Cannizzo,250,81,38,40,36,"$2,053,365 ","$8,213 ",15%,46%,2016
Gary C. Contessa,326,121,42,33,49,"$2,024,259 ","$6,209 ",13%,38%,2016
Joe Sharp,341,157,52,56,56,"$1,988,958 ","$5,833 ",15%,48%,2016
Gary Sciacca,279,68,34,34,44,"$1,952,830 ","$6,999 ",12%,40%,2016
Kelly J. Breen,177,43,37,25,30,"$1,927,495 ","$10,890 ",21%,52%,2016
J. R. Caldwell,407,117,62,48,50,"$1,844,143 ","$4,531 ",15%,39%,2016
Danny Gargan,190,85,44,35,34,"$1,792,835 ","$9,436 ",23%,59%,2016
Wayne M. Catalano,193,75,37,22,30,"$1,759,139 ","$9,115 ",19%,46%,2016
Mark Glatt,246,94,49,49,33,"$1,736,046 ","$7,057 ",20%,53%,2016
"Richard A. Violette, Jr.",121,39,18,24,13,"$1,730,098 ","$14,298 ",15%,45%,2016
Wesley A. Ward,228,121,62,49,34,"$1,704,592 ","$7,476 ",27%,64%,2016
Josie Carroll,107,39,20,25,12,"$1,689,153 ","$15,786 ",19%,53%,2016
Samuel Breaux,547,117,78,106,83,"$1,679,803 ","$3,071 ",14%,49%,2016
Eddie Kenneally,169,69,34,25,22,"$1,636,011 ","$9,681 ",20%,48%,2016
Claudio A. Gonzalez,326,53,62,49,45,"$1,625,846 ","$4,987 ",19%,48%,2016
Joel H. Marr,332,101,66,64,48,"$1,598,062 ","$4,813 ",20%,54%,2016
Christophe Clement,105,56,23,16,10,"$1,596,190 ","$15,202 ",22%,47%,2016
Mary E. Eppler,218,58,44,37,36,"$1,594,610 ","$7,315 ",20%,54%,2016
T. Bernard Houghton,322,84,57,53,45,"$1,590,208 ","$4,939 ",18%,48%,2016
James W. Casey,249,47,67,40,44,"$1,549,657 ","$6,224 ",27%,61%,2016
Michael V. Pino,265,122,43,47,41,"$1,548,149 ","$5,842 ",16%,49%,2016
Kieron Magee,355,114,91,59,47,"$1,545,089 ","$4,352 ",26%,55%,2016
D. Wayne Lukas,236,54,25,26,26,"$1,538,074 ","$6,517 ",11%,33%,2016
Henry Dominguez,492,114,78,81,89,"$1,520,169 ","$3,090 ",16%,50%,2016
Timothy E. Hamm,392,74,65,49,50,"$1,520,137 ","$3,878 ",17%,42%,2016
McLean Robertson,264,86,58,48,39,"$1,495,274 ","$5,664 ",22%,55%,2016
"George R. Arnold, II",138,42,22,19,20,"$1,478,425 ","$10,713 ",16%,44%,2016
Thomas Albertrani,165,61,17,26,29,"$1,472,857 ","$8,926 ",10%,44%,2016
David E. Hofmans,43,19,8,4,3,"$1,468,930 ","$34,161 ",19%,35%,2016
Keith Nations,248,71,55,29,41,"$1,464,517 ","$5,905 ",22%,50%,2016
George Weaver,165,70,25,24,23,"$1,457,246 ","$8,832 ",15%,44%,2016
Bruce N. Levine,240,80,38,33,36,"$1,452,944 ","$6,054 ",16%,45%,2016
Gustavo Delgado,175,47,31,27,31,"$1,443,792 ","$8,250 ",18%,51%,2016
Lynn Chleborad,414,82,62,59,61,"$1,436,231 ","$3,469 ",15%,44%,2016
Kathleen O'Connell,376,131,61,58,52,"$1,431,571 ","$3,807 ",16%,45%,2016
Robert P. Tiller,217,61,32,35,29,"$1,430,338 ","$6,591 ",15%,44%,2016
"Edward Plesa, Jr.",160,62,29,29,27,"$1,407,951 ","$8,800 ",18%,53%,2016
Kevin Attard,230,50,37,45,36,"$1,394,112 ","$6,061 ",16%,51%,2016
Michael Stidham,265,122,45,45,33,"$1,385,421 ","$5,228 ",17%,46%,2016
Scott Becker,365,102,105,53,46,"$1,377,048 ","$3,773 ",29%,56%,2016
Eduardo Ramirez,330,104,81,62,36,"$1,372,948 ","$4,160 ",25%,54%,2016
Nicholas Gonzalez,286,78,47,38,37,"$1,372,532 ","$4,799 ",16%,43%,2016
Blaine D. Wright,412,116,89,54,66,"$1,325,081 ","$3,216 ",22%,51%,2016
Jeff Bonde,303,81,59,38,42,"$1,309,233 ","$4,321 ",19%,46%,2016
Randy L. Morse,220,71,40,36,27,"$1,306,250 ","$5,938 ",18%,47%,2016
Gerald S. Bennett,308,79,71,44,37,"$1,296,413 ","$4,209 ",23%,49%,2016
Ronney W. Brown,495,105,113,82,59,"$1,283,228 ","$2,592 ",23%,51%,2016
Ingrid Mason,284,64,39,41,43,"$1,277,784 ","$4,499 ",14%,43%,2016
"John T. Toscano, Jr.",213,54,30,25,32,"$1,269,680 ","$5,961 ",14%,41%,2016
Ben Colebrook,257,86,34,42,39,"$1,267,016 ","$4,930 ",13%,45%,2016
Larry Rivelli,268,91,73,40,37,"$1,266,433 ","$4,725 ",27%,56%,2016
Michael E. Lauer,322,53,40,39,48,"$1,265,166 ","$3,929 ",12%,39%,2016
Chris Richard,246,80,50,40,39,"$1,250,138 ","$5,082 ",20%,52%,2016
Roger L. Attfield,101,49,25,8,10,"$1,233,967 ","$12,217 ",25%,43%,2016
Juan C. Vazquez,248,53,48,36,39,"$1,233,944 ","$4,976 ",19%,50%,2016
