Bill-Size Ratios of Bird Species (n=410),
"Schoener, T. W. (1965)",
Data retrieved from: https://www.seattlecentral.edu/qelp/sets/034/034.html,
,
species,bill ratio (large to small culmen)
C. caribaea,1.00
T. rujus,1.00
Dendrocincla anabatina,1.00
P. ater,1.00
Thryothorus modestus,1.00
T. zeledoni,1.00
D. trigonostigma,1.00
Dendroica tigrina,1.00
D. fusca,1.00
B. tristriatus,1.00
T. minura,1.00
T. nigrocincta,1.00
Amphispiza bilineate,1.00
S. pinus,1.00
Spinus psaltria,1.00
A. botteri,1.00
B. lagopus,1.01
R. longirostris,1.01
G. lawrenci,1.01
A. rutila,1.01
A. amabilis,1.01
T. violaceus,1.01
T. violaceus,1.01
Myrmotherula axillaris,1.01
Tyrannus dominicensis,1.01
Myiarchus nuttingi,1.01
S. castanca,1.01
C. guttatus,1.01
C. mexicanus,1.01
C. frantzi,1.01
Sialis sialis,1.01
Turdus assimilis,1.01
D. australe,1.01
D. virens,1.01
T. icterocephala,1.01
Pipilo fuscus,1.01
B. jamaicensis,1.02
B. nitidus,1.02
B. jamaicensis,1.02
Odontophorus leucolaemus,1.02
A. tzacatl,1.02
Trogan collaris,1.02
T. collaris,1.02
D. stricklandi,1.02
Myrmeciza longipes,1.02
Thamnophilus punctatus,1.02
Grallaria fulviventris,1.02
Aphelocoma ultramarina,1.02
T. atrogularis,1.02
T. lecontei,1.02
Catharus minimus,1.02
C. fuscater,1.02
Myadestes obscurus,1.02
T. lavinia,1.02
Ramphocelus passerini,1.02
Lonchura leucogastra,1.02
Tiaris bicolor,1.02
A. mystacalis,1.02
P. ocai,1.02
O. choliba,1.03
Columba subvinacea,1.03
A. ambigua,1.03
Lophornis helenae,1.03
A. yucatanensis,1.03
T. aurantiiventris,1.03
Halcyon winchelli,1.03
Lepidocolaptes affins,1.03
Elaenia frantzi,1.03
C. ochraceus,1.03
Myiodynastes hemichrysus,1.03
P. hudsonicus,1.03
T. fasciato-ventris,1.03
T. migratorius,1.03
Microligea palustris,1.03
Tanagra affinis,1.03
T. gyrola,1.03
Spizella passerina,1.03
Melospiza lincolni,1.03
Saltator maximus,1.03
Hesperiphona abeillei,1.03
Spizactus tyrannus,1.04
O. guatemalae,1.04
Ptilinopus occipitalis,1.04
A. collaria,1.04
Anthracothorax viridis,1.04
T. massena,1.04
