,,,,,,
,,,,,,
State,County,Size of Land,Sale Price,Price per Acre (approx),Land Details,Date
Indiana,Howard,145 acres,"$1,326,000.00 ","$9,144.00 ",145 tillable acres / 73 CSR,June/July 2013
Iowa,Webster,98 acres,"$906,500 ","$9,250.00 ",95 tillables acres,June/July 2013
Kansas,Clay,160 acres,"$630,000 ","$3,937.00 ","148 acres of terraced, upland cropland",June/July 2013
Kentucky,McLean County,440 acres,"$3,692,155 ","$8,388.00 ",Henshaw and Belknap silt loams,June/July 2013
Louisiana,Franklin Parish,990 acres,"$3,820,410 ","$3,859.00 ",Includes processing plant and farm equipment,June/July 2013
Missouri,Saline,160 acres,"$1,688,000 ","$10,550.00 ",152 tillable acres,June/July 2013
Arkansas,Yell,"1,493 acres","$5,753,000 ","$3,853.00 ",Irrigated via ground wells and river pumps,August 2013
Georgia,Early,224 acres,"$641,411 ","$2,915.00 ",136 cropland acres and 88 woodland acres,August 2013
Illinois,Kane,152 acres,"$2,054,700 ","$13,500.00 ",148.7 cropland acres,August 2013
Illinois,Sangamon,339 acres,"$3,660,000 ","$10,738.00 ","310 tillable acres, 10 acres of pasture and 17 acres in ditches/waterways",August 2013
Indiana,Tipton,116 acres,"$1,700,000 ","$14,580.00 ",113 tillable acres with Class A-B soils,August 2013
Iowa,Wright,160 acres,"$1,448,000 ","$9,050.00 ",152 cropland acres / 79 CSR,August 2013
Missouri,Buchanon,168 acres,"$891,000 ","$5,308.00 ",135 tillable acres with center pivot-irrigated bottomland,August 2013
Nebraska,Lancaster,302 acres,"$2,204,600 ","$7,300.00 ","216 dryland cropland and 86 acres of grassland, trees and waste",August 2013
Nebraska,Polk,160 acres,"$1,400,000 ","$8,750.00 ","Includes irrigation pivot, motor and well",August 2013
North Dakota,Strutsman,147 acres,"$1,048,00","$6,550.00 ",147 cropland acres with a Soil Productivity Index of 80,August 2013
Virginia,Pulaski and Wythe,122 acres,"$375,000 ","$3,073.00 ",90 cropland acres and 32 acres of pine and spruce trees,August 2013
Iowa,Wright,278 acres,"$3,266,800 ","$11,227.00 ","266 cropland acres with a 3,000-bushel grain bin",October 2013
Kentucky,Webster,733 acres,"$3,266,800 ","$4,457.00 ","Includes two homes, farm buildings and grain bins",October 2013
Louisiana,St. Martin Parish,941 acres,"$1,400,000 ","$1,488.00 ",667 acres in pine and hardwood timber production and 274 acres of sugarcane,October 2013
Nebraska,Red Willow,324 acres,"$590,953 ","$1,824.00 ",159 cropland acres and 160 acres of native pasture,October 2013
Arkansas,Ashley,226 acres,"$435,000 ","$1,925.00 ",92 acres of irrigated cropland and Rilla Silt Loam--Class I soils,November 2013
Arkansas,Mississippi,714 acres,"$2,889,000 ","$4,047.00 ",600 acres leveled and irrigated,November 2013
Georgia,Crisp,98 acres,"$326,463 ","$3,331.00 ",73 cropland acres,November 2013
Illinois,Henry,261 acres,"$1,983,600 ","$7,600.00 ",196 cropland acres,November 2013
Iowa,Franklin,158 acres,"$1,429,900 ","$9,050.00 ",150 cropland acres,November 2013
Iowa,Pocahontas,160 acres,"$1,700,000 ","$10,625.00 ",150 tillable acres,November 2013
Kansas,Clay,550 acres,"$1,497,500 ","$2,722.00 ",Sold in three tracts,November 2013
Louisiana,Morehouse Parish,395 acres,"$1,582,370 ","$4,006.00 ",395 tillable acres,November 2013
Missouri,Clay,131 acres,"$576,000 ","$4,400.00 ",105 tillable acres,November 2013
South Dakota,Lincoln,153 acres,"$1,306,620 ","$8,540.00 ",131 cropland acres with partial tiling,November 2013
Wyoming,Goshen,"8,414 acres","$3,500,000 ",$415.00 ,"Includes a home, garage, shop and barn",November 2013
Alabama,Jackson,100 acres,"$367,500 ","$3,675.00 ",70 cropland acres and 20 acres of enhanced waterfowl habitat,December 2013
Arkansas,Desha,188 acres,"$658,000 ","$3,500.00 ",188 acres of irrigated cropland,December 2013
Florida,Jackson,113 acres,"$180,235 ","$1,595.00 ","43 cropland acres, 68 woodland acres, and two homes",December 2013
Illinois,DeKalb,338 acres,"$4,478,500 ","$13,250.00 ",321 cropland acres,December 2013
