Band,Species,Sex,First adult year,Last Year,Weight (g),Wing (mm),Tarsus (mm),Beak Length (mm),Beak Depth (mm),Beak Width (mm),,,,Sources: 
9,Geospiza fortis,unknown,1975,1977,14.5,67,18,9.2,8.3,8.1,,,,"Grant, PR, Grant, BR (2014) 40 years of evolution: Darwin's finches on Daphne Major Island. Princeton: Princeton University Press. https://doi.org/"
12,Geospiza fortis,female,1975,1977,13.5,66,18.3,9.5,7.5,7.5,,,,"Grant PR, Grant BR (2014) Data from: 40 years of evolution. Darwin's finches on Daphne Major Island. Dryad Digital Repository. https://doi.org/10.5061/dryad.g6g3h"
276,Geospiza fortis,unknown,1976,1977,16.44,64.19,18.47,9.93,8,7.6,,,,
278,Geospiza fortis,unknown,1976,1977,18.54,67.19,19.27,11.13,10.6,9.4,,,,
283,Geospiza fortis,male,1976,1977,17.44,70.19,19.27,12.13,11.2,9.5,,,,
288,Geospiza fortis,unknown,1976,1977,16.34,71.19,20.27,10.63,9.1,8.8,,,,
293,Geospiza fortis,unknown,1976,1977,15.74,67.19,17.57,9.93,9.5,8.9,,,,
294,Geospiza fortis,unknown,1976,1977,16.84,68.19,18.17,11.33,10.5,9.1,,,,
298,Geospiza fortis,male,1976,1977,15.54,68.19,18.57,9.93,8.4,8.2,,,,
307,Geospiza fortis,male,1975,1977,17.5,70,20,11.1,8.6,8.4,,,,
311,Geospiza fortis,unknown,1975,1977,15,67,18.4,10.8,9.2,8.5,,,,
315,Geospiza fortis,unknown,1975,1977,17,70,19.9,9.7,8.8,8.7,,,,
321,Geospiza fortis,unknown,1975,1977,15,66,19.1,10.6,8.5,8.1,,,,
342,Geospiza fortis,female,1975,1977,15,66,18.4,9.6,8,8.7,,,,
343,Geospiza fortis,unknown,1975,1977,15,67,18,10.5,9.7,8.5,,,,
345,Geospiza fortis,male,1975,1977,16.5,67,20.1,9.9,8.4,8.8,,,,
346,Geospiza fortis,unknown,1975,1977,13,64,17.6,9.6,7.9,7.4,,,,
347,Geospiza fortis,male,1975,1977,16,71,19.6,10.7,9.3,8.4,,,,
352,Geospiza fortis,male,1975,1977,13.5,65,18.4,9.3,7.7,7.8,,,,
356,Geospiza fortis,female,1973,1977,16,69,18.5,10.1,8.5,8.1,,,,
413,Geospiza fortis,female,1975,1977,14,65,17.9,9.7,8.2,7.9,,,,
420,Geospiza fortis,female,1975,1977,15,65,19.8,11,9.7,9.1,,,,
422,Geospiza fortis,male,1973,1977,19,70,19.4,11,10.3,9.1,,,,
