Monthly Benefit ($),Family Size,Gross Monthly Income ($)
603.41,5,3753
560.69,3,3778
623.24,6,3609
416.12,5,2262
323.90,1,1966
418.78,4,2736
506.46,2,3274
552.53,2,3480
586.46,7,3741
637.18,8,3684
244.49,2,1476
507.19,5,2835
512.56,5,2873
312.89,4,1618
329.05,4,1565
243.49,6,1582
560.37,8,3380
599.90,3,3922
657.09,5,3845
394.82,5,2233
556.42,1,3098
569.05,8,3707
365.80,8,2071
489.08,5,3166
495.86,4,3126
642.77,4,3933
364.81,8,1925
619.30,6,3736
238.71,1,1453
378.94,4,2538
302.58,1,1798
231.74,8,1189
428.67,6,2247
286.99,5,1460
268.81,1,1567
329.81,6,1622
627.25,3,3828
421.52,6,2782
656.38,2,3978
400.64,3,2493
