Amazon,,,,Starbucks,,,,Coca-Cola,,,,S&P 500,,,
date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return,date,close,Price Change,Return
1/3/2000,89.38,,,1/3/2000,2.7248,,,1/3/2000,17.5742,,,1/3/2000,103.8003,,
1/4/2000,81.94,-7.44,-8.32,1/4/2000,2.6386,-0.0862,-3.16,1/4/2000,17.6335,0.0593,0.34,1/4/2000,99.7411,-4.0592,-3.91
1/5/2000,71.75,-10.19,-12.44,1/5/2000,2.6452,0.0066,0.25,1/5/2000,17.8272,0.1937,1.10,1/5/2000,99.9195,0.1784,0.18
1/6/2000,65.56,-6.19,-8.63,1/6/2000,2.769,0.1238,4.68,1/6/2000,17.8085,-0.0187,-0.10,1/6/2000,98.3137,-1.6058,-1.61
1/7/2000,69.56,4,6.10,1/7/2000,2.7557,-0.0133,-0.48,1/7/2000,18.9801,1.1716,6.58,1/7/2000,104.0234,5.7097,5.81
1/10/2000,69.19,-0.37,-0.53,1/10/2000,2.8728,0.1171,4.25,1/10/2000,18.374,-0.6061,-3.19,1/10/2000,104.3802,0.3568,0.34
1/11/2000,66.75,-2.44,-3.53,1/11/2000,2.7899,-0.0829,-2.89,1/11/2000,18.9988,0.6248,3.40,1/11/2000,103.1312,-1.249,-1.20
1/12/2000,63.56,-3.19,-4.78,1/12/2000,2.7966,0.0067,0.24,1/12/2000,19.2144,0.2156,1.13,1/12/2000,102.1053,-1.0259,-0.99
1/13/2000,65.94,2.38,3.74,1/13/2000,2.9977,0.2011,7.19,1/13/2000,18.9207,-0.2937,-1.53,1/13/2000,103.4881,1.3828,1.35
1/14/2000,64.25,-1.69,-2.56,1/14/2000,2.9214,-0.0763,-2.55,1/14/2000,19.0769,0.1562,0.83,1/14/2000,104.8932,1.4051,1.36
1/18/2000,64.13,-0.12,-0.19,1/18/2000,2.8794,-0.042,-1.44,1/18/2000,20.3079,1.231,6.45,1/18/2000,104.068,-0.8252,-0.79
1/19/2000,66.81,2.68,4.18,1/19/2000,2.8176,-0.0618,-2.15,1/19/2000,20.386,0.0781,0.38,1/19/2000,104.9155,0.8475,0.81
1/20/2000,64.75,-2.06,-3.08,1/20/2000,2.769,-0.0486,-1.72,1/20/2000,20.5829,0.1969,0.97,1/20/2000,103.3096,-1.6059,-1.53
1/21/2000,62.06,-2.69,-4.15,1/21/2000,2.759,-0.01,-0.36,1/21/2000,20.8953,0.3124,1.52,1/21/2000,103.0866,-0.223,-0.22
1/24/2000,70.13,8.07,13.00,1/24/2000,2.7137,-0.0453,-1.64,1/24/2000,20.2704,-0.6249,-2.99,1/24/2000,100.1648,-2.9218,-2.83
1/25/2000,69.25,-0.88,-1.25,1/25/2000,2.8728,0.1591,5.86,1/25/2000,20.5829,0.3125,1.54,1/25/2000,101.3023,1.1375,1.14
1/26/2000,64.81,-4.44,-6.41,1/26/2000,3.2043,0.3315,11.54,1/26/2000,19.7018,-0.8811,-4.28,1/26/2000,100.4994,-0.8029,-0.79
1/27/2000,66.94,2.13,3.29,1/27/2000,3.191,-0.0133,-0.42,1/27/2000,18.5896,-1.1122,-5.65,1/27/2000,100.0979,-0.4015,-0.40
1/28/2000,61.69,-5.25,-7.84,1/28/2000,3.2938,0.1028,3.22,1/28/2000,17.7897,-0.7999,-4.30,1/28/2000,96.9755,-3.1224,-3.12
1/31/2000,64.56,2.87,4.65,1/31/2000,3.5358,0.242,7.35,1/31/2000,17.946,0.1563,0.88,1/31/2000,99.6073,2.6318,2.71
2/1/2000,67.44,2.88,4.46,2/1/2000,3.57,0.0342,0.97,2/1/2000,18.1615,0.2155,1.20,2/1/2000,100.5886,0.9813,0.99
2/2/2000,69.44,2,2.97,2/2/2000,3.5082,-0.0618,-1.73,2/2/2000,17.6148,-0.5467,-3.01,2/2/2000,100.6778,0.0892,0.09
2/3/2000,84.19,14.75,21.24,2/3/2000,3.4739,-0.0343,-0.98,2/3/2000,17.2617,-0.3531,-2.00,2/3/2000,102.1945,1.5167,1.51
2/4/2000,78.56,-5.63,-6.69,2/4/2000,3.7987,0.3248,9.35,2/4/2000,17.5742,0.3125,1.81,2/4/2000,101.7707,-0.4238,-0.41
2/7/2000,75,-3.56,-4.53,2/7/2000,3.7844,-0.0143,-0.38,2/7/2000,17.771,0.1968,1.12,2/7/2000,101.6146,-0.1561,-0.15
2/8/2000,83.13,8.13,10.84,2/8/2000,3.8673,0.0829,2.19,2/8/2000,17.8678,0.0968,0.54,2/8/2000,102.9974,1.3828,1.36
2/9/2000,80.25,-2.88,-3.46,2/9/2000,3.812,-0.0553,-1.43,2/9/2000,17.8085,-0.0593,-0.33,2/9/2000,100.8339,-2.1635,-2.10
2/10/2000,76.19,-4.06,-5.06,2/10/2000,3.5358,-0.2762,-7.25,2/10/2000,17.7116,-0.0969,-0.54,2/10/2000,101.0347,0.2008,0.20
2/11/2000,76.19,0,0.00,2/11/2000,3.633,0.0972,2.75,2/11/2000,17.3586,-0.353,-1.99,2/11/2000,98.9828,-2.0519,-2.03
2/14/2000,74.44,-1.75,-2.30,2/14/2000,3.7501,0.1171,3.22,2/14/2000,16.9118,-0.4468,-2.57,2/14/2000,99.5627,0.5799,0.59
2/15/2000,73.81,-0.63,-0.85,2/15/2000,3.8264,0.0763,2.03,2/15/2000,17.3992,0.4874,2.88,2/15/2000,100.689,1.1263,1.13
2/16/2000,70.69,-3.12,-4.23,2/16/2000,3.7778,-0.0486,-1.27,2/16/2000,16.7337,-0.6655,-3.82,2/16/2000,99.2058,-1.4832,-1.47
2/17/2000,69,-1.69,-2.39,2/17/2000,3.8264,0.0486,1.29,2/17/2000,16.3432,-0.3905,-2.33,2/17/2000,98.6928,-0.513,-0.52
2/18/2000,64.75,-4.25,-6.16,2/18/2000,3.6606,-0.1658,-4.33,2/18/2000,16.0526,-0.2906,-1.78,2/18/2000,96.574,-2.1188,-2.15
2/22/2000,63.56,-1.19,-1.84,2/22/2000,3.6673,0.0067,0.18,2/22/2000,16.1682,0.1156,0.72,2/22/2000,96.3286,-0.2454,-0.25
2/23/2000,70.44,6.88,10.82,2/23/2000,3.854,0.1867,5.09,2/23/2000,16.012,-0.1562,-0.97,2/23/2000,97.4661,1.1375,1.18
2/24/2000,68.44,-2,-2.84,2/24/2000,3.8739,0.0199,0.52,2/24/2000,15.5621,-0.4499,-2.81,2/24/2000,95.5034,-1.9627,-2.01
2/25/2000,69.13,0.69,1.01,2/25/2000,3.7291,-0.1448,-3.74,2/25/2000,15.2122,-0.3499,-2.25,2/25/2000,95.1577,-0.3457,-0.36
2/28/2000,65.75,-3.38,-4.89,2/28/2000,3.7634,0.0343,0.92,2/28/2000,15.4059,0.1937,1.27,2/28/2000,97.1539,1.9962,2.10
