Name,In-State Tuition,Out-of-State Tuition,Type
"Blue Ridge Community CollegeWEYERS CAVE, VA",4794,10632,Public
"College of William and MaryWILLIAMSBURG, VA",16919,41072,Public
"George Mason UniversityFAIRFAX, VA",10952,31598,Public
"J Sargeant Reynolds Community CollegeRICHMOND, VA",4428,10266,Public
"James Madison UniversityHARRISONBURG, VA",10018,25152,Public
"Alabama A & M UniversityNORMAL, AL",9366,17136,Public
"University of Alabama at BirminghamBIRMINGHAM, AL",7766,17654,Public
"University of Alabama in HuntsvilleHUNTSVILLE, AL",9128,20622,Public
"Alabama State UniversityMONTGOMERY, AL",8720,15656,Public
"The University of AlabamaTUSCALOOSA, AL",10170,25950,Public
"University of Arkansas at Little RockLITTLE ROCK, AR",8108,19178,Public
"University of Arkansas for Medical SciencesLITTLE ROCK, AR",8468,17504,Public
"University of ArkansasFAYETTEVILLE, AR",8522,21826,Public
"University of Arkansas at Pine BluffPINE BLUFF, AR",6271,11941,Public
"Arkansas State University-BeebeBEEBE, AR",2544,4176,Public
"Arizona State University-TempeTEMPE, AZ",10158,25458,Public
"Arizona Western CollegeYUMA, AZ",1824,7416,Public
"University of ArizonaTUCSON, AZ",10877,30030,Public
"Central Arizona CollegeCOOLIDGE, AZ",2400,10440,Public
"Cochise County Community College DistrictDOUGLAS, AZ",1800,6000,Public
"Eastern Arizona CollegeTHATCHER, AZ",2000,9200,Public
"California State University-Los AngelesLOS ANGELES, CA",6355,17515,Public
"California State University-NorthridgeNORTHRIDGE, CA",6569,17729,Public
"California State University-SacramentoSACRAMENTO, CA",6872,18032,Public
"University of California-BerkeleyBERKELEY, CA",13431,38139,Public
"University of California-DavisDAVIS, CA",13951,38659,Public
"University of California-IrvineIRVINE, CA",13252,37960,Public
"Arapahoe Community CollegeLITTLETON, CO",3392,12690,Public
"University of Colorado DenverDENVER, CO",8692,23704,Public
"University of Colorado Colorado SpringsCOLORADO SPRINGS, CO",7692,17988,Public
"University of Colorado BoulderBOULDER, CO",11091,34125,Public
"Colorado Mountain CollegeGLENWOOD SPRINGS, CO",3930,9132,Public
"Asnuntuck Community CollegeENFIELD, CT",3866,11558,Public
"Central Connecticut State UniversityNEW BRITAIN, CT",9300,21570,Public
"Charter Oak State CollegeNEW BRITAIN, CT",7014,9189,Public
"University of ConnecticutSTORRS, CT",13366,34908,Public
"Eastern Connecticut State UniversityWILLIMANTIC, CT",10016,22286,Public
"University of the District of ColumbiaWASHINGTON, DC",5251,11233,Public
"Delaware Technical Community College-OwensGEORGETOWN, DE",3530,8282,Public
"Delaware Technical Community College-TerryDOVER, DE",3530,8282,Public
"Delaware Technical Community College-Stanton/WilmingtonWILMINGTON, DE",3530,8282,Public
"Delaware State UniversityDOVER, DE",7532,16138,Public
"University of DelawareNEWARK, DE",12520,31420,Public
"University of Central FloridaORLANDO, FL",6368,22467,Public
"Florida Atlantic UniversityBOCA RATON, FL",4831,17276,Public
"Florida International UniversityMIAMI, FL",6556,18954,Public
"University of FloridaGAINESVILLE, FL",6381,28659,Public
"Florida State UniversityTALLAHASSEE, FL",6507,21673,Public
"Georgia Institute of Technology-Main CampusATLANTA, GA",12204,32396,Public
"Georgia Southern UniversitySTATESBORO, GA",6273,16847,Public
"Georgia State UniversityATLANTA, GA",8974,23542,Public
"University of GeorgiaATHENS, GA",11622,29832,Public
"Kennesaw State UniversityKENNESAW, GA",5914,16234,Public
"University of Hawaii at HiloHILO, HI",7332,19788,Public
"University of Hawaii at ManoaHONOLULU, HI",11164,31516,Public
"Honolulu Community CollegeHONOLULU, HI",2766,7614,Public
"Kapiolani Community CollegeHONOLULU, HI",2796,7644,Public
"Kauai Community CollegeLIHUE, HI",2844,7692,Public
"University of IowaIOWA CITY, IA",8104,27890,Public
"Iowa State UniversityAMES, IA",7736,20856,Public
"University of Northern IowaCEDAR FALLS, IA",7817,18005,Public
"Northeast Iowa Community CollegeCALMAR, IA",4564,4564,Public
"Northwest Iowa Community CollegeSHELDON, IA",5460,5850,Public
"Boise State UniversityBOISE, ID",6876,20926,Public
"Eastern Idaho Technical CollegeIDAHO FALLS, ID",2496,8502,Public
"Idaho State UniversityPOCATELLO, ID",6784,20182,Public
"University of IdahoMOSCOW, ID",7020,21024,Public
"Lewis-Clark State CollegeLEWISTON, ID",8624,19142,Public
"North Idaho CollegeCOEUR D'ALENE, ID",4166,7702,Public
"Elgin Community CollegeELGIN, IL",9156,11957,Public
"Governors State UniversityUNIVERSITY PARK, IL",10246,18406,Public
"Highland Community CollegeFREEPORT, IL",4911,5151,Public
"University of Illinois at ChicagoCHICAGO, IL",14626,27447,Public
"University of Illinois at Urbana-ChampaignCHAMPAIGN, IL",17086,33222,Public
"Purdue University-Main CampusWEST LAFAYETTE, IN",10002,28804,Public
"Ball State UniversityMUNCIE, IN",9498,25016,Public
"Ivy Tech Community CollegeINDIANAPOLIS, IN",4055,7932,Public
"Indiana University-Purdue University-Fort WayneFORT WAYNE, IN",8080,19408,Public
"University of Southern IndianaEVANSVILLE, IN",7178,16959,Public
"University of KansasLAWRENCE, KS",10057,24708,Public
"Kansas State UniversityMANHATTAN, KS",9350,23429,Public
"Washburn Institute of TechnologyTOPEKA, KS",4944,4944,Public
"Labette Community CollegePARSONS, KS",2700,3450,Public
"Manhattan Area Technical CollegeMANHATTAN, KS",4895,4895,Public
"Kentucky State UniversityFRANKFORT, KY",7754,18056,Public
"University of KentuckyLEXINGTON, KY",10936,24268,Public
"University of LouisvilleLOUISVILLE, KY",10744,25050,Public
"Morehead State UniversityMOREHEAD, KY",8098,20246,Public
"Murray State UniversityMURRAY, KY",7608,20712,Public
"Louisiana Tech UniversityRUSTON, LA",8854,25852,Public
"McNeese State UniversityLAKE CHARLES, LA",7289,18364,Public
"University of New OrleansNEW ORLEANS, LA",8004,21821,Public
"Nicholls State UniversityTHIBODAUX, LA",7348,18279,Public
"Grambling State UniversityGRAMBLING, LA",7063,16222,Public
"University of Massachusetts-AmherstAMHERST, MA",14356,30689,Public
"University of Massachusetts-BostonBOSTON, MA",12682,29920,Public
"Massachusetts College of Art and DesignBOSTON, MA",11725,31225,Public
"Massachusetts Maritime AcademyBUZZARDS BAY, MA",7250,22304,Public
"Massasoit Community CollegeBROCKTON, MA",4296,9240,Public
