Average US Gas Price 1991-2015 (in dollars per gallon),,,
Year,Average US Gas Price,2 Period Moving Average,3 Period Moving Average
1991,1.140,N/A,N/A
1992,1.130,1.135,N/A
1993,1.110,1.120,1.127
1994,1.110,1.110,1.117
1995,1.150,1.130,1.123
1996,1.230,1.190,1.163
1997,1.230,1.230,1.203
1998,1.060,1.145,1.173
1999,1.170,1.115,1.153
2000,1.510,1.340,1.247
2001,1.460,1.485,1.380
2002,1.360,1.410,1.443
2003,1.590,1.475,1.470
2004,1.880,1.735,1.610
2005,2.300,2.090,1.923
2006,2.590,2.445,2.257
2007,2.800,2.695,2.563
2008,3.270,3.035,2.887
2009,2.350,2.810,2.807
2010,2.790,2.570,2.803
2011,3.530,3.160,2.890
2012,3.640,3.585,3.320
2013,3.530,3.585,3.567
2014,3.370,3.450,3.513
2015,2.450,2.910,3.117
