"Year","Winner","Length","Seconds","Speed","Direction"
1867,"Ruthless",1.625,"185","31.621622","Clockwise"
1868,"General Duke",1.625,"182","32.142857","Clockwise"
1869,"Fenian",1.625,"184.30000","31.741725","Clockwise"
1870,"Kingfisher",1.625,"176","33.238636","Clockwise"
1871,"Harry Bassett",1.625,"179.50000","32.590529","Clockwise"
1872,"Joe Daniels",1.625,"178.20000","32.828283","Clockwise"
1873,"Springbok",1.625,"181.70000","32.195927","Clockwise"
1874,"Saxon",1.5,"159.50000","33.855799","Clockwise"
1875,"Calvin",1.5,"162.30000","33.271719","Clockwise"
1876,"Algerine",1.5,"160.50000","33.644860","Clockwise"
1877,"Cloverbrook",1.5,"166","32.530120","Clockwise"
1878,"Duke of Magenta",1.5,"163.50000","33.027523","Clockwise"
1879,"Spendthrift",1.5,"162.70000","33.189920","Clockwise"
1880,"Grenada",1.5,"167","32.335329","Clockwise"
1881,"Saunterer",1.5,"167","32.335329","Clockwise"
1882,"Forester",1.5,"163","33.128834","Clockwise"
1883,"George Kinney",1.5,"162.50000","33.230769","Clockwise"
1884,"Panique",1.5,"162","33.333333","Clockwise"
1885,"Tyrant",1.5,"163","33.128834","Clockwise"
1886,"Inspector B",1.5,"161","33.540373","Clockwise"
1887,"Hanover",1.5,"163.50000","33.027523","Clockwise"
1888,"Sir Dixon",1.5,"160.30000","33.686837","Clockwise"
1889,"Eric",1.5,"167.30000","32.277346","Clockwise"
1890,"Burlington",1.25,"127.80000","35.211268","Clockwise"
1891,"Foxford",1.25,"128.80000","34.937888","Clockwise"
1892,"Patron",1.25,"137","32.846715","Clockwise"
1893,"Comanche",1.125,"113.20000","35.777385","Clockwise"
1894,"Henry of Navarre",1.125,"116.50000","34.763948","Clockwise"
1895,"Belmar",1.25,"131.50000","34.220532","Clockwise"
1896,"Hastings",1.375,"144.50000","34.256055","Clockwise"
1897,"Scottish Chieftain",1.375,"143.30000","34.542917","Clockwise"
1898,"Bowling Brook",1.375,"152","32.565789","Clockwise"
1899,"Jean Bereaud",1.375,"143","34.615385","Clockwise"
1900,"Ildrim",1.375,"141.20000","35.056657","Clockwise"
1901,"Commando",1.375,"141","35.106383","Clockwise"
1902,"Masterman",1.375,"142.60000","34.712482","Clockwise"
1903,"Africander",1.375,"141.70000","34.932957","Clockwise"
1904,"Delhi",1.25,"126.60000","35.545024","Clockwise"
1905,"Tanya",1.25,"128","35.156250","Clockwise"
