"Rank","Name","Company","Compensation","Five.Year.Comp","Shares.Owned...mil.","Age","Efficiency"
1,"John H Hammergren","McKesson",131.19,"285.02",51.9,53,"121"
2,"Ralph Lauren","Ralph Lauren",66.65,"204.06",5010.4,72,"84"
3,"Michael D Fascitelli","Vornado Realty",64.405,"NA",171.7,55,"NA"
4,"Richard D Kinder","Kinder Morgan",60.94,"60.94",8582.3,67,"NA"
5,"David M Cote","Honeywell",55.79,"96.11",21.5,59,"138"
6,"George Paz","Express Scripts",51.525,"100.21",47.3,57,"36"
7,"Jeffery H Boyd","Priceline.com",50.185,"90.3",128.2,55,"12"
8,"Stephen J Hemsley","UnitedHealth Group",48.835,"169.3",155.8,59,"NA"
9,"Clarence P Cazalot Jr","Marathon Oil",43.71,"67.23",30.3,61,"91"
10,"John C Martin","Gilead Sciences",43.19,"214.92",90.9,60,"131"
11,"John D Wren","Omnicom Group",42.625,"110.41",71.1,59,"150"
12,"James Dimon","JPMorgan Chase & Co",41.995,"140.92",223.4,56,"NA"
13,"Leslie Moonves","CBS",41.485,"152.89",58.2,63,"142"
14,"Howard D Schultz","Starbucks",41.47,"200.97",1058.1,58,"NA"
15,"John C Plant","TRW Automotive Holdings",41.095,"91.02",33.7,58,"109"
16,"David M Zaslav","Discovery Communications",40.745,"71.502",0,52,"NA"
17,"Robert A Iger","Walt Disney",39.83,"156.98",48.5,61,"109"
18,"Richard C Adkerson","Freeport-McMoRan Copper & Gold",39.535,"183.22",117.5,65,"106"
19,"Timothy M Manganello","BorgWarner",39.27,"83.02",76.7,61,"31"
20,"Paul E Jacobs","Qualcomm",36.33,"89.39",101.4,50,"84"
21,"Stephen I Chazen","Occidental Petroleum",34.3,"NA",210,65,"NA"
22,"David E I Pyott","Allergan",33.82,"120.81",21.6,59,"106"
23,"John B Hess","Hess",33.2,"255.35",610.1,58,"192"
24,"Lew Frankfort","Coach",33.17,"105.18",169.8,66,"98"
25,"Louis C Camilleri","Philip Morris International",32.755,"82.743",143.6,57,"NA"
26,"Joseph M Tucci","EMC",32.3,"113.46",29.5,64,"102"
27,"Philippe P Dauman","Viacom",30.89,"92.72",48.6,58,"NA"
28,"David C Novak","Yum Brands",29.675,"199.88",18.3,59,"47"
29,"William R Berkley","WR Berkley",29.005,"219.96",874,66,"181"
30,"Gregg W Steinhafel","Target",28.625,"52.062",34,56,"NA"
31,"Keith D Nosbusch","Rockwell Automation",27.18,"57.25",37.7,61,"136"
32,"Mortimer B Zuckerman","Boston Properties",27.055,"NA",157.1,73,"NA"
33,"Stephen F Angel","Praxair",26.48,"70.18",16.2,57,"NA"
34,"Randall L Stephenson","AT&T",26,"81.29",22.9,52,"NA"
35,"James T Hackett","Anadarko Petroleum",25.92,"113.33",29.7,58,"108"
36,"Alexander M Cutler","Eaton",25.84,"101.77",27.9,60,"120"
37,"Mark Donegan","Precision Castparts",25.62,"97.03",39.7,54,"26"
38,"Jay S Fishman","Travelers Cos",25.485,"78.59",33.6,59,"86"
39,"Frederick W Smith","FedEx",25.37,"125.42",1817.6,67,"187"
40,"Irene B Rosenfeld","Kraft Foods",25.37,"65.48",37.2,58,"NA"
41,"William P Sullivan","Agilent Technologies",24.84,"76.47",17.7,63,"97"
42,"K Rupert Murdoch","News Corp",24.79,"106.73",6609.3,81,"184"
43,"Eric C Wiseman","VF",24.04,"47.34",24.7,56,"NA"
44,"Michael A J Farrell","Annaly Capital Management",23.845,"83.68",40.4,60,"38"
45,"Laurence D Fink","BlackRock",23.38,"133.86",269.7,59,"66"
46,"Michael T Duke","Wal-Mart Stores",23.155,"53.933",56.3,61,"NA"
47,"David B Snow Jr","Medco Health Solutions",22.195,"87.1",32.9,57,"39"
48,"Steve Ells","Chipotle Mexican Grill",21.785,"48.54",98.8,46,"6"
49,"Lloyd C Blankfein","Goldman Sachs Group",21.745,"159.48",256.3,57,"NA"
50,"William R Johnson","HJ Heinz",21.61,"73.53",65.7,63,"138"
51,"Robert L Parkinson Jr","Baxter International",21.32,"56.48",23.4,61,"82"
52,"John F Brock","Coca-Cola Enterprises",21.18,"47.04",9.5,63,"NA"
53,"Allen F Wise","Coventry Health Care",20.875,"NA",8.6,69,"NA"
54,"Alan R Mulally","Ford Motor",20.835,"59.61",35.7,66,"NA"
55,"Michael Balmuth","Ross Stores",20.815,"64.95",90.7,61,"20"
56,"Frank R Martire","Fidelity National Information Services",20.785,"NA",16.3,63,"NA"
57,"Scott D Sheffield","Pioneer Natural Resources",20.05,"51.79",83,59,"65"
58,"David N Farr","Emerson Electric",19.99,"84.48",91.3,57,"147"
59,"Aubrey K McClendon","Chesapeake Energy",19.875,"303.6",79.1,51,"194"
60,"Michael J Ward","CSX",19.835,"96.78",29.7,61,"49"
61,"Robert E Beauchamp","BMC Software",19.83,"86.93",24,52,"169"
62,"Jeffrey L Bewkes","Time Warner",19.795,"68.272",12.7,59,"NA"
63,"John F Lundgren","Stanley Black & Decker",19.77,"40.08",25.3,60,"112"
64,"Charles E Bunch","PPG Industries",19.66,"48.12",29.2,62,"148"
65,"Frank S Hermance","Ametek",19.34,"88.79",88.2,63,"48"
66,"H Lawrence Culp Jr","Danaher",19.26,"190.81",95.3,49,"114"
67,"Ian M Cook","Colgate-Palmolive",19.235,"39.982",26.5,60,"NA"
68,"Robert J Stevens","Lockheed Martin",19.2,"127.55",36.3,60,"151"
69,"Francisco D'Souza","Cognizant Technology Solutions",19.095,"38.52",13.5,43,"NA"
70,"Brian L Roberts","Comcast",18.775,"151.69",568.4,52,"123"
71,"Timothy M Ring","CR Bard",18.59,"72.5",26.2,54,"128"
