"Date","Price","Year","Week"
1/6/1992,1.042,1992,1
1/13/1992,1.026,1992,2
1/20/1992,1.014,1992,3
1/27/1992,1.006,1992,4
2/3/1992,0.995,1992,5
2/10/1992,1.004,1992,6
2/17/1992,1.011,1992,7
2/24/1992,1.014,1992,8
3/2/1992,1.012,1992,9
3/9/1992,1.013,1992,10
3/16/1992,1.01,1992,11
3/23/1992,1.015,1992,12
3/30/1992,1.013,1992,13
4/6/1992,1.026,1992,14
4/13/1992,1.051,1992,15
4/20/1992,1.058,1992,16
4/27/1992,1.072,1992,17
5/4/1992,1.089,1992,18
5/11/1992,1.102,1992,19
5/18/1992,1.118,1992,20
5/25/1992,1.12,1992,21
6/1/1992,1.128,1992,22
6/8/1992,1.143,1992,23
6/15/1992,1.151,1992,24
6/22/1992,1.153,1992,25
6/29/1992,1.149,1992,26
7/6/1992,1.147,1992,27
7/13/1992,1.139,1992,28
7/20/1992,1.132,1992,29
7/27/1992,1.128,1992,30
8/3/1992,1.126,1992,31
8/10/1992,1.123,1992,32
8/17/1992,1.116,1992,33
8/24/1992,1.123,1992,34
8/31/1992,1.121,1992,35
9/7/1992,1.121,1992,36
9/14/1992,1.124,1992,37
9/21/1992,1.123,1992,38
9/28/1992,1.118,1992,39
10/5/1992,1.115,1992,40
10/12/1992,1.115,1992,41
10/19/1992,1.113,1992,42
10/26/1992,1.113,1992,43
11/2/1992,1.12,1992,44
11/9/1992,1.12,1992,45
11/16/1992,1.112,1992,46
11/23/1992,1.106,1992,47
11/30/1992,1.098,1992,48
12/7/1992,1.089,1992,49
12/14/1992,1.078,1992,50
12/21/1992,1.074,1992,51
12/28/1992,1.069,1992,52
1/4/1993,1.065,1993,1
1/11/1993,1.066,1993,2
1/18/1993,1.061,1993,3
1/25/1993,1.055,1993,4
2/1/1993,1.055,1993,5
2/8/1993,1.062,1993,6
2/15/1993,1.053,1993,7
2/22/1993,1.047,1993,8
3/1/1993,1.042,1993,9
3/8/1993,1.048,1993,10
3/15/1993,1.058,1993,11
3/22/1993,1.056,1993,12
3/29/1993,1.057,1993,13
4/5/1993,1.068,1993,14
4/12/1993,1.079,1993,15
4/19/1993,1.079,1993,16
4/26/1993,1.086,1993,17
5/3/1993,1.086,1993,18
5/10/1993,1.097,1993,19
5/17/1993,1.106,1993,20
5/24/1993,1.106,1993,21
5/31/1993,1.107,1993,22
6/7/1993,1.104,1993,23
6/14/1993,1.101,1993,24
6/21/1993,1.095,1993,25
6/28/1993,1.089,1993,26
7/5/1993,1.086,1993,27
7/12/1993,1.081,1993,28
7/19/1993,1.075,1993,29
7/26/1993,1.069,1993,30
8/2/1993,1.062,1993,31
8/9/1993,1.06,1993,32
8/16/1993,1.059,1993,33
8/23/1993,1.065,1993,34
8/30/1993,1.062,1993,35
9/6/1993,1.055,1993,36
9/13/1993,1.051,1993,37
9/20/1993,1.045,1993,38
9/27/1993,1.047,1993,39
10/4/1993,1.092,1993,40
10/11/1993,1.09,1993,41
10/18/1993,1.093,1993,42
10/25/1993,1.092,1993,43
11/1/1993,1.084,1993,44
11/8/1993,1.075,1993,45
11/15/1993,1.064,1993,46
11/22/1993,1.058,1993,47
11/29/1993,1.051,1993,48
12/6/1993,1.036,1993,49
12/13/1993,1.018,1993,50
12/20/1993,1.003,1993,51
12/27/1993,0.999,1993,52
1/3/1994,0.992,1994,1
1/10/1994,0.995,1994,2
1/17/1994,1.001,1994,3
1/24/1994,0.999,1994,4
1/31/1994,1.005,1994,5
2/7/1994,1.007,1994,6
2/14/1994,1.016,1994,7
2/21/1994,1.009,1994,8
2/28/1994,1.004,1994,9
3/7/1994,1.007,1994,10
3/14/1994,1.005,1994,11
3/21/1994,1.007,1994,12
3/28/1994,1.012,1994,13
4/4/1994,1.011,1994,14
4/11/1994,1.028,1994,15
4/18/1994,1.033,1994,16
4/25/1994,1.037,1994,17
5/2/1994,1.04,1994,18
5/9/1994,1.045,1994,19
5/16/1994,1.046,1994,20
5/23/1994,1.05,1994,21
5/30/1994,1.056,1994,22
6/6/1994,1.065,1994,23
6/13/1994,1.073,1994,24
6/20/1994,1.079,1994,25
6/27/1994,1.095,1994,26
7/4/1994,1.097,1994,27
7/11/1994,1.103,1994,28
7/18/1994,1.109,1994,29
7/25/1994,1.114,1994,30
8/1/1994,1.13,1994,31
8/8/1994,1.157,1994,32
8/15/1994,1.161,1994,33
8/22/1994,1.165,1994,34
8/29/1994,1.161,1994,35
9/5/1994,1.156,1994,36
9/12/1994,1.15,1994,37
9/19/1994,1.14,1994,38
9/26/1994,1.129,1994,39
10/3/1994,1.12,1994,40
10/10/1994,1.114,1994,41
10/17/1994,1.106,1994,42
10/24/1994,1.107,1994,43
10/31/1994,1.121,1994,44
11/7/1994,1.123,1994,45
11/14/1994,1.122,1994,46
11/21/1994,1.113,1994,47
11/28/1994,1.082,1994,48
12/5/1994,1.075,1994,49
12/12/1994,1.064,1994,50
12/19/1994,1.056,1994,51
12/26/1994,1.044,1994,52
1/2/1995,1.063,1995,1
1/9/1995,1.07,1995,2
1/16/1995,1.062,1995,3
1/23/1995,1.068,1995,4
1/30/1995,1.068,1995,5
2/6/1995,1.062,1995,6
2/13/1995,1.058,1995,7
2/20/1995,1.052,1995,8
2/27/1995,1.06,1995,9
3/6/1995,1.063,1995,10
3/13/1995,1.056,1995,11
3/20/1995,1.055,1995,12
3/27/1995,1.063,1995,13
4/3/1995,1.077,1995,14
4/10/1995,1.094,1995,15
4/17/1995,1.11,1995,16
4/24/1995,1.133,1995,17
5/1/1995,1.141,1995,18
5/8/1995,1.164,1995,19
5/15/1995,1.173,1995,20
5/22/1995,1.191,1995,21
5/29/1995,1.193,1995,22
6/5/1995,1.194,1995,23
6/12/1995,1.19,1995,24
6/19/1995,1.183,1995,25
6/26/1995,1.177,1995,26
7/3/1995,1.169,1995,27
7/10/1995,1.159,1995,28
7/17/1995,1.148,1995,29
7/24/1995,1.138,1995,30
7/31/1995,1.126,1995,31
8/7/1995,1.124,1995,32
8/14/1995,1.121,1995,33
8/21/1995,1.122,1995,34
8/28/1995,1.113,1995,35
9/4/1995,1.111,1995,36
9/11/1995,1.107,1995,37
9/18/1995,1.106,1995,38
9/25/1995,1.106,1995,39
10/2/1995,1.1,1995,40
10/9/1995,1.092,1995,41
10/16/1995,1.081,1995,42
10/23/1995,1.073,1995,43
10/30/1995,1.062,1995,44
11/6/1995,1.06,1995,45
11/13/1995,1.059,1995,46
11/20/1995,1.056,1995,47
11/27/1995,1.057,1995,48
12/4/1995,1.058,1995,49
12/11/1995,1.057,1995,50
12/18/1995,1.072,1995,51
12/25/1995,1.075,1995,52
1/1/1996,1.077,1996,1
1/8/1996,1.086,1996,2
1/15/1996,1.092,1996,3
1/22/1996,1.084,1996,4
1/29/1996,1.079,1996,5
2/5/1996,1.076,1996,6
2/12/1996,1.073,1996,7
2/19/1996,1.078,1996,8
2/26/1996,1.099,1996,9
3/4/1996,1.115,1996,10
3/11/1996,1.116,1996,11
3/18/1996,1.128,1996,12
3/25/1996,1.158,1996,13
4/1/1996,1.172,1996,14
4/8/1996,1.195,1996,15
4/15/1996,1.234,1996,16
4/22/1996,1.243,1996,17
4/29/1996,1.257,1996,18
5/6/1996,1.259,1996,19
5/13/1996,1.262,1996,20
5/20/1996,1.269,1996,21
5/27/1996,1.26,1996,22
6/3/1996,1.252,1996,23
6/10/1996,1.247,1996,24
6/17/1996,1.241,1996,25
6/24/1996,1.23,1996,26
7/1/1996,1.219,1996,27
7/8/1996,1.217,1996,28
7/15/1996,1.215,1996,29
7/22/1996,1.215,1996,30
7/29/1996,1.209,1996,31
8/5/1996,1.199,1996,32
8/12/1996,1.196,1996,33
8/19/1996,1.199,1996,34
8/26/1996,1.201,1996,35
9/2/1996,1.193,1996,36
9/9/1996,1.201,1996,37
9/16/1996,1.203,1996,38
9/23/1996,1.203,1996,39
9/30/1996,1.199,1996,40
10/7/1996,1.191,1996,41
10/14/1996,1.203,1996,42
10/21/1996,1.205,1996,43
10/28/1996,1.217,1996,44
11/4/1996,1.225,1996,45
11/11/1996,1.229,1996,46
11/18/1996,1.238,1996,47
11/25/1996,1.246,1996,48
12/2/1996,1.242,1996,49
12/9/1996,1.241,1996,50
