"Year","Focal_Depth","Primary_Magnitude","Country","Latitude","Longitude","Deaths","Missing","Injuriez","Damage($M)"
-426,,7.1,"GREECE",38.9,22.7,,,,
-373,,7.3,"GREECE",38.25,22.25,,,,
79,,,"ITALY",40.821,14.426,,,,
142,,7,"GREECE",36.7,28,,,,
173,,,"CHINA",37.5,120,,,,
365,70,8,"GREECE",35,23,5000,,,
478,,,"TURKEY",40.8,29.2,,,,
543,,6.8,"TURKEY",40.3,27.8,,,,
551,,7.1,"GREECE",38.4,22.3,,,,
551,,7.8,"TURKEY",40.8,29.9,,,,
552,,7.2,"GREECE",38.4,22.4,,,,
554,,7,"GREECE",36.5,27.5,,,,
557,,7,"TURKEY",40.9,27.6,,,,
558,,7,"GREECE",37.1,27.7,,,,
684,,8.4,"JAPAN",32.5,134,,,,
701,,7,"JAPAN",35.7,135.4,,,,
704,,7,"JAPAN",33.8,136.7,,,,
744,,6.4,"JAPAN",32.4,130.5,1520,,,
745,,6.5,"JAPAN",34.6,135.3,,,,
818,,7.9,"JAPAN",35.2,139.3,,,,
850,,7,"JAPAN",39,139.9,,,,
863,,7,"JAPAN",37.1,138,,,,
869,,8.6,"JAPAN",38.5,143.8,1000,,,
887,,6.5,"JAPAN",37.5,138.1,2000,,,
887,,8.6,"JAPAN",33,135.3,,,,
922,,7,"JAPAN",33.8,136.7,,,,
963,,,"ITALY",38,15,,,,
986,,7.5,"TURKEY",40.8,29.2,,,,
1026,,7.5,"JAPAN",34.8,131.8,1001,,,
1033,,,"SYRIA",33,35,,,,
1065,,,"TURKEY",,,,,,
1068,,,"ISRAEL",29.5,34.95,,,,
1088,,,"JAPAN",39.64,141.96,,,,
1088,,7,"JAPAN",40.5,143,,,,
1096,,8.4,"JAPAN",34,137.5,,,,
1099,,8.4,"JAPAN",33,135.5,,,,
1169,,7,"ITALY",37.3,15.03,,,,
1172,,,"ITALY",38,15,,,,
1202,,7.6,"SYRIA",33.5,36,,,,
1222,,6.6,"CYPRUS ISLAND",34.5,33,,,,
1241,,7,"JAPAN",35.2,139.4,,,,
1257,,7.5,"JAPAN",39,144,,,,
1257,,7,"JAPAN",35.2,139.5,,,,
1265,,6.6,"TURKEY",40.7,27.4,,,,
1270,,,"GREECE",41.3,19.5,,,,
1303,,8,"GREECE",34,26,,,,
1331,,7,"JAPAN",33.7,135.2,,,,
1341,,7,"JAPAN",41,139.5,2600,,,
1343,,7,"TURKEY",41,28.1,,,,
1344,,6.9,"TURKEY",40.8,28.8,,,,
1360,,7,"JAPAN",33.4,136.2,,,,
1361,,8.4,"JAPAN",33,135,660,,,
1365,,,"ALGERIA",36.8,3,,,,
1403,,7,"JAPAN",33.7,136.5,,,,
1408,,7,"JAPAN",33.8,136.9,,,,
1419,,,"TURKEY",,,,,,
1433,,7.1,"JAPAN",34.9,139.5,,,,
1448,,7,"JAPAN",37.5,138.2,,,,
1494,,7.2,"GREECE",35.5,25.5,,,,
1495,,7.1,"JAPAN",35.1,139.5,200,,,
1498,,8.3,"JAPAN",34,138.1,,,,
